validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_rajada,vnt_vrb,vis,teto,cobertura,tt,po,qnh,ur,chuva,pancada,trovoada,chuvisco,nevoa_umida,nevoa_seca,nevoeiro,vis_setor,vis_setor_dir
"['11:00', '21/03']",21/03 11:00,VRB,2,,NIL,9000,NIL,2,20,20,1014,100,,,,,,,,,
"['12:00', '21/03']",21/03 12:00,VRB,2,,NIL,9999,NIL,2,22,20,1014,88,,,,,,,,,
"['13:00', '21/03']",21/03 13:00,250,3,,265,9999,3000,5,23,19,1015,78,,,,,,,,,
"['14:00', '21/03']",21/03 14:00,270,5,,285,9999,4000,5,25,20,1015,74,,,,,,,,,
"['15:00', '21/03']",21/03 15:00,VRB,3,,NIL,9999,3500,5,26,19,1014,65,,,,,,,,,
"['16:00', '21/03']",21/03 16:00,VRB,5,,NIL,9999,3300,5,26,19,1014,65,,,,,,,,,
"['17:00', '21/03']",21/03 17:00,VRB,4,,NIL,9999,3500,5,28,17,1013,51,,,,,,,,,
"['18:00', '21/03']",21/03 18:00,130,8,,155,9999,4000,5,27,16,1013,51,,,,,,,,,
"['19:00', '21/03']",21/03 19:00,140,9,,NIL,9999,NIL,3,27,15,1012,48,,,,,,,,,
"['20:00', '21/03']",21/03 20:00,140,12,,NIL,9999,NIL,3,27,16,1013,51,,,,,,,,,
"['21:00', '21/03']",21/03 21:00,120,12,,NIL,9999,NIL,2,25,18,1014,65,,,,,,,,,
"['22:00', '21/03']",21/03 22:00,120,10,,NIL,9999,NIL,NIL,24,18,1014,69,,,,,,,,,
"['23:00', '21/03']",21/03 23:00,110,11,,NIL,9999,NIL,NIL,23,17,1015,69,,,,,,,,,
"['00:00', '22/03']",22/03 00:00,100,10,,NIL,9999,NIL,NIL,22,18,1015,78,,,,,,,,,
"['01:00', '22/03']",22/03 01:00,110,9,,NIL,9999,,NIL,22,18,1015,78,,,,,,,,,
"['02:00', '22/03']",22/03 02:00,110,8,,NIL,9999,,NIL,21,18,1015,83,,,,,,,,,
"['03:00', '22/03']",22/03 03:00,100,6,,NIL,9999,,NIL,20,18,1015,88,,,,,,,,,
"['04:00', '22/03']",22/03 04:00,110,5,,NIL,9999,,NIL,20,18,1016,88,,,,,,,,,
