validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,cobertura,tt,po,qnh,ur,teto,chuva,pancada,nevoa_umida,vis_setor,vis_setor_dir,trovoada,vnt_rajada,nevoa_seca,chuvisco
"['19:00', '21/03']",21/03 19:00,110,9,NIL,9999,3,28,20,1011,62,,NIL,,,NIL,NIL,,,,
"['20:00', '21/03']",21/03 20:00,130,8,NIL,9999,2,27,20,1011,66,,NIL,,,NIL,NIL,,,,
"['21:00', '21/03']",21/03 21:00,120,6,NIL,9999,3,27,20,1012,66,,NIL,,,NIL,NIL,,,,
"['22:00', '21/03']",21/03 22:00,110,6,NIL,9999,3,26,20,1012,70,,NIL,,,NIL,NIL,,,,
"['23:00', '21/03']",21/03 23:00,120,6,NIL,9999,3,26,21,1013,74,,NIL,,,NIL,NIL,,,,
"['00:00', '22/03']",22/03 00:00,130,7,130,9999,3,26,21,1013,74,,NIL,,,NIL,NIL,,,,
"['01:00', '22/03']",22/03 01:00,120,7,NIL,9999,3,26,21,1013,74,NIL,,,,,,,,,
"['02:00', '22/03']",22/03 02:00,120,7,NIL,9999,3,26,21,1013,74,NIL,,,,,,,,,
"['03:00', '22/03']",22/03 03:00,130,5,NIL,9999,3,26,20,1012,70,NIL,,,,,,,,,
"['04:00', '22/03']",22/03 04:00,110,3,NIL,9999,3,26,20,1011,70,NIL,,,,,,,,,
"['05:00', '22/03']",22/03 05:00,130,3,NIL,9999,3,26,20,1011,70,NIL,,,,,,,,,
"['06:00', '22/03']",22/03 06:00,200,3,NIL,9999,3,25,20,1011,74,NIL,,,,,,,,,
"['07:00', '22/03']",22/03 07:00,250,4,NIL,9999,5,24,21,1011,83,2300,,,,,,,,,
"['08:00', '22/03']",22/03 08:00,240,4,NIL,9999,3,24,20,1011,78,NIL,,,,,,,,,
"['09:00', '22/03']",22/03 09:00,310,2,NIL,9999,3,24,21,1012,83,NIL,,,,,,,,,
"['10:00', '22/03']",22/03 10:00,230,4,NIL,9999,3,25,20,1012,74,NIL,,,,,,,,,
"['11:00', '22/03']",22/03 11:00,210,5,NIL,9999,3,26,21,1013,74,NIL,,,,,,,,,
"['12:00', '22/03']",22/03 12:00,120,7,110,9999,3,28,20,1013,62,NIL,,,,,,,,,
"['13:00', '22/03']",22/03 13:00,140,7,NIL,9999,3,28,20,1013,62,NIL,,,,,,,,,
"['14:00', '22/03']",22/03 14:00,90,7,95,9999,2,29,20,1013,58,NIL,,,,,,,,,
"['15:00', '22/03']",22/03 15:00,110,9,115,9999,3,28,21,1012,66,NIL,,,,,,,,,
"['16:00', '22/03']",22/03 16:00,140,10,125,9999,2,29,21,1011,62,NIL,,,,,,,,,
"['17:00', '22/03']",22/03 17:00,120,7,120,9999,2,29,20,1010,58,NIL,,,,,,,,,
"['18:00', '22/03']",22/03 18:00,140,9,NIL,9999,2,28,20,1010,62,NIL,,,,,,,,,
"['19:00', '22/03']",22/03 19:00,110,8,100,9999,2,28,20,1010,62,NIL,,,,,,,,,
"['20:00', '22/03']",22/03 20:00,130,8,125,9999,2,27,20,1010,66,NIL,,,,,,,,,
"['21:00', '22/03']",22/03 21:00,110,7,110,9999,2,27,20,1010,66,NIL,,,,,,,,,
"['22:00', '22/03']",22/03 22:00,120,7,NIL,9999,3,27,20,1011,66,NIL,,,,,,,,,
"['23:00', '22/03']",22/03 23:00,110,7,NIL,9999,3,27,21,1012,70,NIL,,,,,,,,,
"['00:00', '23/03']",23/03 00:00,110,5,NIL,9999,3,27,21,1012,70,NIL,,,,,,,,,
"['01:00', '23/03']",23/03 01:00,120,6,NIL,9999,3,26,21,1013,74,NIL,,,,,,,,,
"['02:00', '23/03']",23/03 02:00,110,6,NIL,9999,3,27,21,1013,70,NIL,,,,,,,,,
"['03:00', '23/03']",23/03 03:00,120,6,NIL,9999,3,26,21,1012,74,NIL,,,,,,,,,
"['04:00', '23/03']",23/03 04:00,120,5,NIL,9999,3,26,20,1012,70,NIL,,,,,,,,,
