validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,chuva,trovoada,teto,cobertura,tt,po,qnh,ur,vnt_rajada,nevoeiro,nevoa_umida,chuvisco,pancada,vis_setor,vis_setor_dir,vnt_vrb
"['20:00', '21/06']",21/06 20:00,30,5,9999,,,,NIL,23,12,1023,50,,,,,,,,
"['21:00', '21/06']",21/06 21:00,80,6,9999,,,,NIL,21,13,1023,60,,,,,,,,
"['22:00', '21/06']",21/06 22:00,60,5,9999,,,,NIL,19,13,1024,68,,,,,,,,
"['23:00', '21/06']",21/06 23:00,70,4,9999,,,,NIL,19,13,1024,68,,,,,,,,
"['00:00', '22/06']",22/06 00:00,70,3,9999,,,,NIL,18,13,1025,73,,,,,,,,
"['01:00', '22/06']",22/06 01:00,110,3,9999,,,,,17,12,1025,72,,,,,,,,
"['02:00', '22/06']",22/06 02:00,100,3,9999,,,,,16,12,1025,77,,,,,,,,
"['03:00', '22/06']",22/06 03:00,150,2,9999,,,,,15,12,1025,82,,,,,,,,
"['04:00', '22/06']",22/06 04:00,110,2,9999,,,,,15,12,1025,82,,,,,,,,
"['05:00', '22/06']",22/06 05:00,160,2,9999,,,,,14,13,1025,94,,,,,,,,
"['06:00', '22/06']",22/06 06:00,120,4,9999,,,,,14,13,1026,94,,,,,,,,
"['07:00', '22/06']",22/06 07:00,100,3,9999,,,,,14,13,1026,94,,,,,,,,
"['08:00', '22/06']",22/06 08:00,0,0,9999,,,,,14,13,1026,94,,,,,,,,
"['09:00', '22/06']",22/06 09:00,160,2,9999,,,,,12,12,1024,100,,,,,,,,
"['10:00', '22/06']",22/06 10:00,130,3,9999,,,,,12,12,1024,100,,,,,,,,
"['11:00', '22/06']",22/06 11:00,150,2,9999,,,,,13,12,1024,94,,,,,,,,
"['12:00', '22/06']",22/06 12:00,120,4,9999,,,,,16,13,1025,82,,,,,,,,
"['13:00', '22/06']",22/06 13:00,190,2,9999,,,,,19,13,1025,68,,,,,,,,
"['14:00', '22/06']",22/06 14:00,80,6,9999,,,,,21,11,1024,53,,,,,,,,
"['15:00', '22/06']",22/06 15:00,70,7,9999,,,,,23,10,1024,44,,,,,,,,
"['16:00', '22/06']",22/06 16:00,80,8,9999,,,,,23,09,1023,41,,,,,,,,
"['17:00', '22/06']",22/06 17:00,90,7,9999,,,,,24,09,1022,38,,,,,,,,
"['18:00', '22/06']",22/06 18:00,70,8,9999,,,,,25,08,1021,34,,,,,,,,
"['19:00', '22/06']",22/06 19:00,80,9,9999,,,,,24,09,1021,38,,,,,,,,
"['20:00', '22/06']",22/06 20:00,70,7,9999,,,,,23,10,1021,44,,,,,,,,
"['21:00', '22/06']",22/06 21:00,70,6,9999,,,,,20,10,1021,53,,,,,,,,
"['22:00', '22/06']",22/06 22:00,70,7,9999,,,,,19,09,1021,52,,,,,,,,
"['23:00', '22/06']",22/06 23:00,90,6,9999,,,,,19,09,1021,52,,,,,,,,
"['00:00', '23/06']",23/06 00:00,120,4,9999,,,,,17,10,1022,63,,,,,,,,
"['01:00', '23/06']",23/06 01:00,120,7,9999,,,,,16,10,1022,68,,,,,,,,
"['02:00', '23/06']",23/06 02:00,140,4,9999,,,,,15,10,1022,72,,,,,,,,
"['03:00', '23/06']",23/06 03:00,150,3,9999,,,,,15,10,1022,72,,,,,,,,
"['04:00', '23/06']",23/06 04:00,110,7,9999,,,,,15,10,1022,72,,,,,,,,
"['05:00', '23/06']",23/06 05:00,160,1,9999,,,,,13,10,1022,82,,,,,,,,
"['06:00', '23/06']",23/06 06:00,80,2,9999,,,,,13,10,1021,82,,,,,,,,
"['07:00', '23/06']",23/06 07:00,150,2,9999,,,,,11,10,1021,94,,,,,,,,
"['08:00', '23/06']",23/06 08:00,150,3,9999,,,,,12,10,1021,88,,,,,,,,
"['09:00', '23/06']",23/06 09:00,150,3,9999,,,,,11,10,1021,94,,,,,,,,
