validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,chuva,trovoada,teto,cobertura,tt,po,qnh,ur,vnt_rajada,vis_setor,vis_setor_dir,nevoa_umida,nevoeiro,pancada,nevoa_seca,chuvisco,fumaca
"['05:00', '02/12']",02/12 05:00,130,10,NIL,9999,NIL,,NIL,2,22,19,1013,83,,NIL,NIL,,,,,,
"['06:00', '02/12']",02/12 06:00,110,4,NIL,9999,NIL,,NIL,2,21,19,1013,88,,NIL,NIL,,,,,,
"['07:00', '02/12']",02/12 07:00,130,7,NIL,9999,NIL,,4500,5,21,19,1013,88,,NIL,NIL,,,,,,
"['08:00', '02/12']",02/12 08:00,120,4,NIL,9999,NIL,,5000,5,21,19,1014,88,,NIL,NIL,,,,,,
"['09:00', '02/12']",02/12 09:00,140,5,NIL,9999,1,,4900,5,22,19,1015,83,,4500,0,,,,,,
"['10:00', '02/12']",02/12 10:00,110,6,NIL,9999,NIL,,10000,5,23,19,1016,78,,NIL,NIL,,,,,,
"['11:00', '02/12']",02/12 11:00,90,6,NIL,9999,NIL,,6000,5,23,19,1016,78,,NIL,NIL,,,,,,
"['12:00', '02/12']",02/12 12:00,60,7,NIL,9999,NIL,,7000,5,24,19,1017,74,,NIL,NIL,,,,,,
"['13:00', '02/12']",02/12 13:00,30,9,NIL,9999,NIL,,NIL,3,25,19,1017,69,,NIL,NIL,,,,,,
"['14:00', '02/12']",02/12 14:00,40,13,NIL,9999,NIL,,NIL,3,26,19,1016,65,,NIL,NIL,,,,,,
"['15:00', '02/12']",02/12 15:00,20,9,205,9999,NIL,,NIL,3,26,18,1016,61,,NIL,NIL,,,,,,
"['16:00', '02/12']",02/12 16:00,330,10,185,9999,NIL,,NIL,3,28,18,1015,55,,NIL,NIL,,,,,,
"['17:00', '02/12']",02/12 17:00,50,5,220,9999,NIL,,NIL,2,28,18,1015,55,,NIL,NIL,,,,,,
"['18:00', '02/12']",02/12 18:00,340,7,180,9999,NIL,,NIL,2,28,18,1014,55,,NIL,NIL,,,,,,
"['20:00', '02/12']",02/12 20:00,30,6,210,9999,NIL,,NIL,2,29,17,1012,48,,NIL,NIL,,,,,,
