validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,teto,cobertura,tt,po,qnh,ur,vnt_rajada,chuva,nevoa_umida,trovoada,vis_setor,vis_setor_dir,nevoa_seca,nevoeiro,chuvisco,pancada
"['18:00', '01/01']",01/01 18:00,100,9,80,9999,NIL,NIL,29,08,1015,27,,,,,,,,,,
"['19:00', '01/01']",01/01 19:00,100,10,110,9999,NIL,NIL,29,08,1014,27,,,,,,,,,,
"['20:00', '01/01']",01/01 20:00,110,10,110,9999,NIL,NIL,29,09,1014,29,,,,,,,,,,
"['21:00', '01/01']",01/01 21:00,100,12,110,9999,NIL,NIL,28,11,1014,35,,,,,,,,,,
"['22:00', '01/01']",01/01 22:00,110,11,NIL,9999,NIL,NIL,26,11,1015,39,,,,,,,,,,
"['23:00', '01/01']",01/01 23:00,100,11,NIL,9999,NIL,NIL,25,11,1015,41,,,,,,,,,,
"['00:00', '02/01']",02/01 00:00,80,12,NIL,9999,NIL,NIL,23,12,1015,50,,,,,,,,,,
"['01:00', '02/01']",02/01 01:00,90,9,NIL,9999,,NIL,22,12,1015,53,,,,,,,,,,
"['02:00', '02/01']",02/01 02:00,80,4,NIL,9999,,NIL,21,11,1015,53,,,,,,,,,,
"['03:00', '02/01']",02/01 03:00,90,3,NIL,9999,,NIL,21,10,1015,49,,,,,,,,,,
"['04:00', '02/01']",02/01 04:00,90,2,NIL,9999,,NIL,19,09,1014,52,,,,,,,,,,
"['05:00', '02/01']",02/01 05:00,VRB,2,NIL,9999,,NIL,19,11,1014,60,,,,,,,,,,
"['06:00', '02/01']",02/01 06:00,270,5,NIL,9999,,NIL,18,11,1014,64,,,,,,,,,,
"['07:00', '02/01']",02/01 07:00,250,4,NIL,9999,,NIL,19,11,1014,60,,,,,,,,,,
"['08:00', '02/01']",02/01 08:00,240,5,NIL,9999,,NIL,20,11,1015,56,,,,,,,,,,
"['09:00', '02/01']",02/01 09:00,310,3,310,9999,,NIL,19,11,1015,60,,,,,,,,,,
"['10:00', '02/01']",02/01 10:00,310,3,295,9999,,NIL,21,13,1016,60,,,,,,,,,,
"['11:00', '02/01']",02/01 11:00,330,6,NIL,9999,,NIL,23,12,1016,50,,,,,,,,,,
"['12:00', '02/01']",02/01 12:00,290,6,285,9999,,NIL,25,13,1016,47,,,,,,,,,,
"['13:00', '02/01']",02/01 13:00,230,7,235,9999,,NIL,26,11,1016,39,,,,,,,,,,
"['14:00', '02/01']",02/01 14:00,240,5,250,9999,,2,27,15,1015,48,,,,,,,,,,
"['15:00', '02/01']",02/01 15:00,190,7,190,9999,,3,28,16,1015,48,,,,,,,,,,
"['16:00', '02/01']",02/01 16:00,200,8,180,9999,,3,28,14,1015,42,,,,,,,,,,
"['17:00', '02/01']",02/01 17:00,150,13,145,9999,,3,28,16,1014,48,,,,,,,,,,
"['18:00', '02/01']",02/01 18:00,160,14,170,9999,,2,28,15,1014,45,,,,,,,,,,
"['19:00', '02/01']",02/01 19:00,160,13,160,9999,,2,27,13,1014,42,,,,,,,,,,
"['20:00', '02/01']",02/01 20:00,160,13,170,9999,,3,26,14,1013,48,,,,,,,,,,
"['21:00', '02/01']",02/01 21:00,140,14,NIL,9999,,2,25,16,1014,57,,,,,,,,,,
"['22:00', '02/01']",02/01 22:00,130,12,125,9999,,2,24,17,1014,65,,,,,,,,,,
"['23:00', '02/01']",02/01 23:00,130,10,130,9999,,2,23,16,1014,65,,,,,,,,,,
"['00:00', '03/01']",03/01 00:00,130,11,NIL,9999,,2,22,16,1015,69,,,,,,,,,,
