validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,vis_setor,vis_setor_dir,chuvisco,chuva,nevoa_umida,teto,cobertura,tt,po,qnh,ur,vnt_rajada,trovoada,pancada,nevoeiro,nevoa_seca
"['00:00', '03/01']",03/01 00:00,110,8,NIL,9000,,,1,,NIL,500,8,17,17,1017,100,,,,,
"['01:00', '03/01']",03/01 01:00,110,7,NIL,8000,,,NIL,,,400,8,17,17,1017,100,,,,,
"['02:00', '03/01']",03/01 02:00,100,7,NIL,9999,,,1,,,500,8,16,15,1018,94,,,,,
"['03:00', '03/01']",03/01 03:00,110,6,NIL,9999,,,NIL,,,700,8,15,15,1017,100,,,,,
"['04:00', '03/01']",03/01 04:00,110,7,NIL,9999,,,NIL,,,1400,5,14,13,1017,94,,,,,
"['05:00', '03/01']",03/01 05:00,90,4,NIL,9999,,,NIL,,,NIL,2,14,13,1016,94,,,,,
"['06:00', '03/01']",03/01 06:00,120,6,NIL,9999,,,NIL,,,NIL,NIL,14,13,1016,94,,,,,
"['07:00', '03/01']",03/01 07:00,140,5,NIL,9999,,,NIL,,,NIL,3,13,12,1016,94,,,,,
"['08:00', '03/01']",03/01 08:00,160,3,NIL,9999,,,NIL,,,1600,5,14,13,1016,94,,,,,
"['08:17', '03/01']",03/01 08:17,100,4,NIL,9999,,,NIL,,,1300,5,14,14,1017,100,,,,,
"['09:00', '03/01']",03/01 09:00,100,3,NIL,9999,,,NIL,,,NIL,3,14,14,1017,100,,,,,
"['10:00', '03/01']",03/01 10:00,130,2,NIL,9999,,,NIL,,,2000,5,16,15,1017,94,,,,,
"['11:00', '03/01']",03/01 11:00,40,2,NIL,9999,,,NIL,,,2200,5,17,15,1017,88,,,,,
"['12:00', '03/01']",03/01 12:00,80,8,NIL,9999,,,NIL,,,2300,5,19,15,1018,78,,,,,
"['13:00', '03/01']",03/01 13:00,60,10,NIL,9999,,,NIL,,,2500,5,20,14,1018,68,,,,,
"['14:00', '03/01']",03/01 14:00,80,8,NIL,9999,,,NIL,,,2600,5,21,15,1018,69,,,,,
"['15:00', '03/01']",03/01 15:00,90,9,NIL,9999,,,NIL,,,3100,5,20,14,1018,68,,,,,
"['16:00', '03/01']",03/01 16:00,110,7,NIL,9999,,,NIL,,,3500,5,21,15,1018,69,,,,,
"['17:00', '03/01']",03/01 17:00,100,8,NIL,9999,,,NIL,,,4000,5,21,15,1017,69,,,,,
"['18:00', '03/01']",03/01 18:00,70,11,75,9999,,,NIL,,,4000,5,21,15,1017,69,,,,,
"['19:00', '03/01']",03/01 19:00,120,15,NIL,9999,,,NIL,,,1500,5,19,15,1016,78,,,,,
"['20:00', '03/01']",03/01 20:00,100,11,NIL,9999,,,NIL,,,1500,5,17,16,1016,94,,,,,
"['21:00', '03/01']",03/01 21:00,110,11,110,9999,,,NIL,,,2500,5,17,14,1016,83,,,,,
"['22:00', '03/01']",03/01 22:00,100,9,NIL,9999,,,NIL,,,1500,5,17,14,1017,83,,,,,
"['23:00', '03/01']",03/01 23:00,90,6,NIL,9999,,,NIL,,,NIL,3,16,14,1017,88,,,,,
"['00:00', '04/01']",04/01 00:00,120,6,NIL,9999,,,NIL,,,NIL,3,15,14,1018,94,,,,,
"['01:00', '04/01']",04/01 01:00,120,7,,9999,,,,,,NIL,3,15,14,1018,94,,,,,
"['02:00', '04/01']",04/01 02:00,100,5,,9999,,,,,,NIL,3,15,14,1018,94,,,,,
"['03:00', '04/01']",04/01 03:00,90,4,,9999,,,,,,NIL,3,15,13,1018,88,,,,,
"['04:00', '04/01']",04/01 04:00,80,7,,9999,,,,,,NIL,3,15,14,1017,94,,,,,
"['05:00', '04/01']",04/01 05:00,60,2,,9999,,,,,,NIL,3,15,14,1016,94,,,,,
"['07:00', '04/01']",04/01 07:00,120,3,,9999,,,,,,NIL,3,14,13,1016,94,,,,,
"['08:00', '04/01']",04/01 08:00,100,4,,9999,,,,,,NIL,3,14,13,1016,94,,,,,
"['09:00', '04/01']",04/01 09:00,100,4,,9999,,,,,,NIL,3,14,14,1016,100,,,,,
"['10:00', '04/01']",04/01 10:00,VRB,2,,9999,,,,,,NIL,3,17,15,1017,88,,,,,
"['11:00', '04/01']",04/01 11:00,70,6,,9999,,,,,,10000,5,18,14,1017,77,,,,,
"['12:00', '04/01']",04/01 12:00,60,9,,9999,,,,,,2000,5,20,14,1017,68,,,,,
